해당함수,시스템콜 목록,CVE(패치버전) 목록
ext4_es_remove_extent,"ftruncate, truncate, unlink",CVE-2023-45898(6.5.3)
fixup_exception,"arch_prctl, prctl, quotactl, setsockopt",CVE-2024-26706(?)
write,"eventfd2, openat, pipe, pipe2, read, rt_sigaction",CVE-2024-42121(?)
__fpu_restore_sig,rt_sigreturn,CVE-2024-26603(?)
restore_fpregs_from_user,rt_sigreturn,CVE-2024-26603(?)
exit_mmap,exit_group,CVE-2018-1000200(?)
untrack_pfn,exit_group,CVE-2024-35877(?)
unlink_anon_vmas,"exit_group, io_destroy, mremap, munmap, shmdt",CVE-2022-42703(5.19.6)
ptrace_may_access,"get_robust_list, kcmp, openat, pidfd_getfd",CVE-2022-30594(5.17.1)
setup_sysctl_set,unshare,CVE-2021-4218(?)
insert_header,unshare,CVE-2023-52596(?)
get_links,unshare,CVE-2023-52596(?)
netfilter_net_init,unshare,CVE-2023-3338(?)
audit_net_init,unshare,CVE-2021-47603(?)
ipv4_sysctl_init_net,unshare,CVE-2021-46912(?)
netdev_run_todo,"close, setsockopt, unshare",CVE-2023-3338(?)
put_ucounts,"access, clone, close, faccessat, inotify_rm_watch, mq_unlink, shmctl, socket, unshare",CVE-2022-24122(5.16.4)
sock_common_setsockopt,setsockopt,CVE-2022-3567(?)
tcp_setsockopt,setsockopt,CVE-2022-3566(?)
smc_release,close,CVE-2022-48909(?)
__queue_delayed_work,"close, fremovexattr, fsetxattr, inotify_rm_watch, lremovexattr, lsetxattr, removexattr, setsockopt, setxattr, sync",CVE-2017-5967(?)
igc_clean_tx_ring,socket,CVE-2021-47302(?)
net_rx_action,"connect, exit_group, socket, sync",CVE-2019-3837(?)
hugetlb_reserve_pages,memfd_create,CVE-2018-7740(?)
can_rcv,socket,CVE-2023-2166(6.0.19)
j1939_send_one,socket,CVE-2024-42076(?)
unix_release_sock,close,CVE-2022-3543(6.0.2)
unix_sock_destructor,"close, recvmsg",CVE-2022-3543(6.0.2)
l2cap_add_conf_opt,close,CVE-2022-42895(?)
sco_sock_setsockopt,close,CVE-2024-35967(?)
sco_sock_clear_timer,close,CVE-2024-36968(?)
init_kcm_sock,socket,CVE-2024-44946(?)
kcm_release,close,CVE-2022-3521(5.18.19)
call_usermodehelper_exec,"bind, socket",CVE-2023-52704(?)
llcp_raw_sock_bind,close,CVE-2023-3863(6.4.3)
pppol2tp_create,"close, socket",CVE-2020-27067(?)
pppol2tp_release,close,CVE-2022-20567(?)
__inet_bind,bind,CVE-2023-0461(6.1.1)
inet_csk_get_port,"bind, listen",CVE-2023-0461(6.1.1)
apparmor_socket_sock_rcv_skb,"close, sendmsg",CVE-2023-52889(?)
__inet6_bind,bind,CVE-2023-0461(6.1.1)
udp_lib_get_port,bind,CVE-2024-41041(?)
do_mmap,"io_setup, mmap, shmat",CVE-2023-52902(?)
change_pte_range,"mprotect, pkey_mprotect",CVE-2022-48797(?)
__anon_vma_prepare,"mlock, mq_notify",CVE-2022-42703(5.19.6)
__key_instantiate_and_link,"add_key, keyctl",CVE-2024-36031(?)
do_semtimedop,semtimedop,CVE-2021-3759(?)
hook_cred_free,"access, clone, faccessat",CVE-2024-42318(?)
cap_convert_nscap,"fsetxattr, lsetxattr, setxattr",CVE-2021-3493(?)
ext4_xattr_ibody_find,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2023-2513(5.19)
ext4_xattr_ibody_set,"fremovexattr, fsetxattr, lsetxattr, removexattr, setxattr",CVE-2024-40972(?)
ext4_xattr_set_entry,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2024-40972(?)
get_nr_dirty_inodes,syncfs,CVE-2021-4218(?)
wb_queue_work,sync,CVE-2024-0562(?)
bio_endio,sync,CVE-2021-47412(?)
blk_cgroup_bio_start,"msync, sync",CVE-2024-0443(?)
blk_mq_submit_bio,"msync, sync",CVE-2023-52787(?)
bio_integrity_prep,"msync, sync",CVE-2024-43854(?)
__blk_mq_sched_bio_merge,"msync, sync",CVE-2021-46984(?)
newseg,shmget,CVE-2021-3759(?)
init_once,mq_open,CVE-2015-8839(?)
__usb_hcd_giveback_urb,"mq_unlink, statx",CVE-2022-48760(?)
usb_unanchor_urb,"mq_unlink, statx",CVE-2022-28390(5.17.1)
usb_hcd_submit_urb,"mq_unlink, statx",CVE-2022-48760(?)
__io_uring_register,io_uring_register,CVE-2022-20153(?)
io_sqe_files_register,io_uring_register,CVE-2023-52656(?)
newque,msgget,CVE-2021-3759(?)
expunge_all,msgctl,CVE-2021-47069(?)
sync_runqueues_membarrier_state,membarrier,CVE-2024-26602(?)
membarrier_global_expedited,membarrier,CVE-2024-26602(?)
node_dirty_ok,write,CVE-2021-4218(?)
ext4_es_find_extent_range,"fallocate, write",CVE-2024-43828(?)
ext4_es_insert_extent,"fallocate, msync, write",CVE-2023-45898(6.5.3)
__dquot_alloc_space,"fallocate, write",CVE-2024-26878(?)
