해당함수,시스템콜 목록,CVE(패치버전) 목록
truncate_inode_pages_final,"close, unlink, wait4",CVE-2018-16862(4.14)
truncate_inode_pages_range,"close, fallocate, ftruncate, truncate, unlink, wait4",CVE-2017-15121(?)
xfd_validate_state,"accept, bind, clock_adjtime, clock_nanosleep, clone, close, creat, fallocate, fremovexattr, fsetxattr, ftruncate, getpid, io_destroy, io_uring_register, linkat, lremovexattr, lsetxattr, membarrier, mkdir, mknod, mknodat, msync, nanosleep, openat, recvmsg, removexattr, renameat, renameat2, rt_sigreturn, sched_setaffinity, sendmsg, setxattr, shmctl, socket, symlink, sync, truncate, unlink, wait4",CVE-2024-35801(?)
call_usermodehelper_exec,"bind, socket",CVE-2023-52704(?)
llcp_sock_listen,"bind, close, socket",CVE-2021-20239(5.4.91)
rawsock_create,"close, socket",CVE-2021-47285(?)
nfc_enable_se,bind,CVE-2022-1974(?)
nfc_genl_llc_set_params,socket,CVE-2023-3863(6.4.3)
nfc_stop_poll,"bind, socket",CVE-2022-1974(?)
llc_ui_bind,bind,CVE-2022-28356(5.17)
llc_ui_release,close,CVE-2024-26625(?)
mlock_future_check,"brk, io_setup, mmap, shmat",CVE-2019-18675(4.16.14)
__vma_adjust,"brk, mprotect",CVE-2017-1000379(4.11.6)
hugepage_vma_check,brk,CVE-2021-47491(?)
vprintk,"capget, socket",CVE-2013-1772(?)
console_unlock,"capget, socket",CVE-2013-1772(?)
hook_cred_prepare,"access, capset, clone, faccessat, keyctl, prctl, setfsgid, setfsuid, setgid, setns, setuid, unshare",CVE-2024-42318(?)
get_task_ioprio,ioprio_get,CVE-2016-7911(4.6.5)
sctp_sf_ootb,"close, socket",CVE-2021-3772(5.14.15)
sk_common_release,close,CVE-2024-40954(?)
inet_csk_init_xmit_timers,"socket, unshare",CVE-2024-35910(?)
__feat_register_sp,"socket, unshare",CVE-2019-20096(5.0.21)
inet_sock_destruct,close,CVE-2021-47103(?)
inet_create,"socket, unshare",CVE-2024-26614(?)
udpv6_destroy_sock,close,CVE-2021-47248(?)
tcp_init_sock,socket,CVE-2019-15239(?)
tcp_close,close,CVE-2024-35910(?)
